"AU"	"estimate"	".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"conf.low"	"conf.high"	"method"	"alternative"	"p.adj"	"p.adj.signif"
"AU01"	0.0049803194497292	"AU_intensity"	"alone"	"social"	120	120	3880	0.513	-0.00934163547019118	0.0191788185012579	"Wilcoxon"	"two.sided"	0.669071428571429	"ns"
"AU02"	-0.00145158003748932	"AU_intensity"	"alone"	"social"	120	120	3473	0.682	-0.00960896809199614	0.005696122507737	"Wilcoxon"	"two.sided"	0.772933333333333	"ns"
"AU04"	-0.0132135967005133	"AU_intensity"	"alone"	"social"	120	120	3557	0.849	-0.145351448598071	0.134400887133738	"Wilcoxon"	"two.sided"	0.849	"ns"
"AU05"	-0.00393920448801621	"AU_intensity"	"alone"	"social"	120	120	3031	0.117	-0.00863773500511353	0.000974237352039791	"Wilcoxon"	"two.sided"	0.180818181818182	"ns"
"AU06"	-0.0884170582034045	"AU_intensity"	"alone"	"social"	120	120	1753	0.000000891	-0.128613114981023	-0.0503836348154748	"Wilcoxon"	"two.sided"	0.00001173	"****"
"AU07"	0.0324595552286153	"AU_intensity"	"alone"	"social"	120	120	3858	0.551	-0.0762615427219319	0.162084854774704	"Wilcoxon"	"two.sided"	0.669071428571429	"ns"
"AU09"	-0.00316420321012858	"AU_intensity"	"alone"	"social"	120	120	3201	0.262	-0.00835081283295859	0.00246603558646229	"Wilcoxon"	"two.sided"	0.371166666666667	"ns"
"AU10"	-0.0514580729347962	"AU_intensity"	"alone"	"social"	120	120	2956	0.0778	-0.129264013487832	0.00538828747804506	"Wilcoxon"	"two.sided"	0.13226	"ns"
"AU12"	-0.106604632435503	"AU_intensity"	"alone"	"social"	120	120	1885	0.00000491	-0.151526919562588	-0.0626439204567558	"Wilcoxon"	"two.sided"	0.00002363	"****"
"AU14"	-0.0175278892586324	"AU_intensity"	"alone"	"social"	120	120	3506	0.746	-0.113420022093067	0.0963751588088548	"Wilcoxon"	"two.sided"	0.792625	"ns"
"AU15"	-0.0244575666242374	"AU_intensity"	"alone"	"social"	120	120	2151	0.000108	-0.0370720002692735	-0.0126657362395324	"Wilcoxon"	"two.sided"	0.000306	"***"
"AU17"	-0.0763002692416509	"AU_intensity"	"alone"	"social"	120	120	2249	0.0003	-0.11226590694269	-0.0365054443047172	"Wilcoxon"	"two.sided"	0.000728571428571428	"***"
"AU20"	-0.020411741863705	"AU_intensity"	"alone"	"social"	120	120	1982	0.000016	-0.0285568287505437	-0.0118860146731236	"Wilcoxon"	"two.sided"	0.0000544	"****"
"AU23"	-0.0148244871520087	"AU_intensity"	"alone"	"social"	120	120	2704	0.0154	-0.0252735611913788	-0.00304855033338018	"Wilcoxon"	"two.sided"	0.0290888888888889	"*"
"AU25"	-0.0967580331977268	"AU_intensity"	"alone"	"social"	120	120	1786	0.00000138	-0.13638310400728	-0.0589121972084475	"Wilcoxon"	"two.sided"	0.00001173	"****"
"AU26"	-0.0576150772139312	"AU_intensity"	"alone"	"social"	120	120	2399	0.00127	-0.0922134876193917	-0.0232940133321172	"Wilcoxon"	"two.sided"	0.00269875	"**"
"AU45"	0.0369706358274494	"AU_intensity"	"alone"	"social"	120	120	5365	0.00000556	0.0212346106385217	0.0515252023493749	"Wilcoxon"	"two.sided"	0.00002363	"****"
