"AU"	"estimate"	".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"conf.low"	"conf.high"	"method"	"alternative"	"p.adj"	"p.adj.signif"
"AU01"	0.0028316426552867	"AU_activity"	"alone"	"social"	120	120	3748	0.758	-0.0138981052785841	0.0195416071755385	"Wilcoxon"	"two.sided"	0.764	"ns"
"AU02"	0.0070034726716821	"AU_activity"	"alone"	"social"	120	120	3968	0.377	-0.00790813642909851	0.0229483879292667	"Wilcoxon"	"two.sided"	0.558	"ns"
"AU04"	0.0175624210939939	"AU_activity"	"alone"	"social"	120	120	3810	0.525	-0.0483151387219669	0.0936370205837948	"Wilcoxon"	"two.sided"	0.63	"ns"
"AU05"	0.027251740596576	"AU_activity"	"alone"	"social"	120	120	3883	0.508	-0.0610744020273706	0.113977779692022	"Wilcoxon"	"two.sided"	0.63	"ns"
"AU06"	-0.0841812020493911	"AU_activity"	"alone"	"social"	120	120	987	0.000000000735	-0.133982721706899	-0.0526100108713209	"Wilcoxon"	"two.sided"	0.000000006615	"****"
"AU07"	-0.0363356078013901	"AU_activity"	"alone"	"social"	120	120	3029	0.196	-0.0995213582415059	0.0150510006484214	"Wilcoxon"	"two.sided"	0.320727272727273	"ns"
"AU09"	-0.00151292127861899	"AU_activity"	"alone"	"social"	120	120	3227	0.764	-0.0101356999687639	0.00762494396821888	"Wilcoxon"	"two.sided"	0.764	"ns"
"AU10"	-0.114791753208188	"AU_activity"	"alone"	"social"	120	120	1644	0.00000238	-0.172622543473351	-0.0607104828418608	"Wilcoxon"	"two.sided"	0.00001071	"****"
"AU12"	-0.0969032394474156	"AU_activity"	"alone"	"social"	120	120	959	0.0000000000122	-0.13340673481195	-0.0685954289004062	"Wilcoxon"	"two.sided"	0.0000000002196	"****"
"AU14"	-0.181068677054505	"AU_activity"	"alone"	"social"	120	120	1977	0.0000151	-0.262449543485869	-0.103511002345711	"Wilcoxon"	"two.sided"	0.00005436	"****"
"AU15"	-0.0333544201294874	"AU_activity"	"alone"	"social"	120	120	2274	0.000385	-0.0503275741814305	-0.015741329409995	"Wilcoxon"	"two.sided"	0.00099	"***"
"AU17"	-0.0483015035029164	"AU_activity"	"alone"	"social"	120	120	2319	0.000599	-0.0740182723211483	-0.0212118616291052	"Wilcoxon"	"two.sided"	0.00134775	"**"
"AU20"	-0.00426752424434668	"AU_activity"	"alone"	"social"	120	120	3310	0.403	-0.0154150470100464	0.006628911394379	"Wilcoxon"	"two.sided"	0.558	"ns"
"AU23"	-0.0109256304091369	"AU_activity"	"alone"	"social"	120	120	3479	0.693	-0.0767465448998455	0.065060823065497	"Wilcoxon"	"two.sided"	0.764	"ns"
"AU25"	-0.0626044168674121	"AU_activity"	"alone"	"social"	120	120	1671	0.000000291	-0.0835290831302802	-0.0424894176669668	"Wilcoxon"	"two.sided"	0.000001746	"****"
"AU26"	-0.0358676367061483	"AU_activity"	"alone"	"social"	120	120	2178	0.000144	-0.0546164150956593	-0.0176851529767974	"Wilcoxon"	"two.sided"	0.000432	"***"
"AU28"	-0.00203347544024201	"AU_activity"	"alone"	"social"	120	120	1877	0.026	-0.00441728765824872	-0.000191270979430777	"Wilcoxon"	"two.sided"	0.052	"ns"
"AU45"	0.0123679585827986	"AU_activity"	"alone"	"social"	120	120	4213	0.127	-0.00378683861340671	0.0292799655382854	"Wilcoxon"	"two.sided"	0.2286	"ns"
