ID,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
alone_1539705_amusement_AFishCalledWanda,0.111271,0.070004,0.001792,0.065842,0.009688,0.800248,0.069569,0.128014,0.049192,0.062212,0.161156,0.500276,0,0.092578,0.138894,0,0.350036,0.340837,0.02298,0
alone_1539705_amusement_Benny&Joon,0.064569,0.039326,0,0.019862,0,0.460856,0.051627,0,0.005748,0.011894,0.045654,0.134409,0,0.051847,0.037363,0,0.097344,0.107197,0,0
alone_1539705_amusement_SomethingAboutMary,0.095568,0.064377,0.011073,0.04804,0.000608,0.755542,0.054498,0,0.00591,0.0235,0.076821,0.210125,0,0.069887,0.128899,0,0.378113,0.214561,0,0
alone_1539705_amusement_SomethingAboutMary(2),0.155764,0.104034,0,0.0253,0.003584,1.192142,0.05402,0,0.005592,0.084675,0.053586,0.186277,0,0.042374,0.091111,0,0.184733,0.1919,0,0
alone_1539705_fear_BlairWitchProject,0.221113,0.087607,0,0.026335,0.005577,1.072674,0.03676,0.000013,0.026037,0.084569,0.080052,0.169029,0,0.056222,0.107378,0,0.149547,0.161901,0,0
alone_1539705_fear_CopyCat,0.164422,0.053205,0.000459,0.057753,0.00569,0.813381,0.03386,0.000008,0.002561,0.041481,0.061038,0.160479,0,0.03927,0.046124,0,0.169348,0.174892,0,0
alone_1539705_fear_Misery,0.163148,0.101818,0,0.041337,0.019077,1.106577,0.051081,0.005239,0.035648,0.080522,0.088984,0.177432,0,0.044592,0.082749,0,0.265296,0.147228,0,0
alone_1539705_fear_TheShining,0.155971,0.078933,0.004262,0.061128,0.001292,0.480629,0.061513,0.311147,0.010956,0.035738,0.291788,0.404644,0,0.088886,0.167965,0,0.386475,0.321712,0.001099,0
alone_1539705_neutral_Blue(1),0.273339,0.068357,0.011911,0.07325,0.029446,0.831607,0.095214,0.002071,0.133911,0.171804,0.181714,0.52625,0,0.093964,0.403429,0,0.393143,0.553607,0,0
alone_1539705_neutral_Blue(2),0.812279,0.245855,0.000026,0.098484,0.008379,0.598843,0.166845,0.03099,0.020578,0.062866,0.205741,0.226643,0,0.102305,0.131648,0,0.142936,0.156731,0,0
