ID,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
AU01_3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU02_3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU04_3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU05_3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU06_3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU07_3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU09_3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AU10_3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
AU12_3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
AU14_3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AU15_3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
AU17_3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
AU18_3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
AU20_3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AU23_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
AU24_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
AU25_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
AU26_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
AU28_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
AU43_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
